Airline,Source,Source Name,Destination,Destination Name,Departure Date & Time,Arrival Date & Time,Duration (hrs),Stopovers,Aircraft Type,Class,Booking Source,Base Fare (BDT),Tax & Surcharge (BDT),Total Fare (BDT),Seasonality,Days Before Departure
Cathay Pacific,ZYL,"Osmani International Airport, Sylhet",CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-07-29 23:03:00,2025-07-30 00:29:47,1.446439291910037,Direct,Airbus A320,Business,Online Website,78956.39517865812,13843.459276798718,92799.85445545684,Regular,14
Turkish Airlines,CGP,"Shah Amanat International Airport, Chittagong",LHR,London Heathrow Airport,2025-09-27 11:22:00,2025-09-27 20:48:05,9.434943419460625,1 Stop,Airbus A350,Economy,Travel Agency,10486.028964785795,7572.904344717869,18058.933309503664,Regular,35
Biman Bangladesh Airlines,CXB,Cox's Bazar Airport,CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-05-01 21:46:00,2025-05-01 23:00:19,1.238877756584525,Direct,Airbus A320,Economy,Direct Booking,55736.78107584283,10360.517161376425,66097.29823721925,Regular,48
Biman Bangladesh Airlines,ZYL,"Osmani International Airport, Sylhet",DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-12-31 08:33:00,2025-12-31 09:15:13,0.7036556612913026,Direct,Airbus A320,Business,Online Website,6729.362916384042,200.0,6929.362916384042,Winter Holidays,73
Qatar Airways,ZYL,"Osmani International Airport, Sylhet",JED,"King Abdulaziz International Airport, Jeddah",2025-12-06 11:51:00,2025-12-06 18:14:15,6.387727969835729,1 Stop,Boeing 777,Economy,Direct Booking,34984.51223002818,9247.676834504226,44232.1890645324,Winter Holidays,53
Kuwait Airways,RJH,"Shah Makhdum Airport, Rajshahi",JED,"King Abdulaziz International Airport, Jeddah",2025-08-17 02:55:00,2025-08-17 08:30:02,5.5839487931523015,1 Stop,Airbus A350,First Class,Direct Booking,95978.01482293526,18396.70222344029,114374.71704637556,Regular,82
Vistara,CXB,Cox's Bazar Airport,LHR,London Heathrow Airport,2025-08-03 13:29:00,2025-08-03 22:52:51,9.397665381374107,1 Stop,Boeing 777,Business,Direct Booking,31630.301808532888,10744.545271279934,42374.847079812826,Regular,64
US-Bangla Airlines,SPD,Saidpur Airport,DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-05-12 14:03:00,2025-05-12 14:54:09,0.8525418944258437,Direct,Airbus A320,First Class,Travel Agency,10592.74710980485,200.0,10792.74710980485,Regular,75
US-Bangla Airlines,JSR,Jessore Airport,BZL,Barisal Airport,2025-06-30 19:23:00,2025-06-30 19:53:00,0.5,Direct,Airbus A320,First Class,Direct Booking,12196.06199109905,200.0,12396.06199109905,Regular,14
AirAsia,RJH,"Shah Makhdum Airport, Rajshahi",SIN,Singapore Changi Airport,2025-12-27 02:54:00,2025-12-27 06:12:33,3.3093793451758513,Direct,Boeing 737,First Class,Direct Booking,225800.8793394812,39870.13190092218,265671.0112404034,Winter Holidays,83
US-Bangla Airlines,JSR,Jessore Airport,DXB,Dubai International Airport,2025-08-09 00:24:00,2025-08-09 04:27:07,4.0521550354509275,Direct,Boeing 787,First Class,Travel Agency,123121.02670631139,22468.154005946708,145589.1807122581,Regular,63
AirAsia,DAC,"Hazrat Shahjalal International Airport, Dhaka",CGP,"Shah Amanat International Airport, Chittagong",2025-06-15 13:16:00,2025-06-15 14:00:09,0.7360645619485081,Direct,Airbus A320,Business,Travel Agency,5492.559344744034,200.0,5692.559344744034,Regular,17
Kuwait Airways,ZYL,"Osmani International Airport, Sylhet",DOH,"Hamad International Airport, Doha",2025-07-28 08:56:00,2025-07-28 13:34:53,4.648266763865839,Direct,Boeing 787,Business,Travel Agency,21177.26253843948,7176.589380765922,28353.851919205405,Regular,20
Malaysian Airlines,CXB,Cox's Bazar Airport,JED,"King Abdulaziz International Airport, Jeddah",2025-07-16 20:31:00,2025-07-17 02:49:28,6.307956205381723,1 Stop,Boeing 777,Business,Online Website,81146.17002298933,16171.9255034484,97318.09552643773,Regular,75
Qatar Airways,DAC,"Hazrat Shahjalal International Airport, Dhaka",IST,Istanbul Airport,2025-05-29 04:59:00,2025-05-29 12:07:06,7.135033976143353,1 Stop,Airbus A350,Economy,Travel Agency,38707.247706111884,9806.087155916783,48513.33486202867,Regular,58
Qatar Airways,DAC,"Hazrat Shahjalal International Airport, Dhaka",ZYL,"Osmani International Airport, Sylhet",2025-05-20 04:42:00,2025-05-20 05:21:21,0.6558976853872817,Direct,Airbus A320,Business,Travel Agency,7530.940833348979,200.0,7730.940833348979,Regular,26
Kuwait Airways,SPD,Saidpur Airport,BKK,"Suvarnabhumi Airport, Bangkok",2025-06-10 08:39:00,2025-06-10 11:37:38,2.977386786677264,Direct,Boeing 787,Economy,Online Website,31759.726065726278,10763.958909858942,42523.684975585216,Regular,23
Air Arabia,ZYL,"Osmani International Airport, Sylhet",SPD,Saidpur Airport,2025-06-23 23:29:00,2025-06-24 00:27:31,0.975492725464682,Direct,Airbus A320,Economy,Travel Agency,1967.9321936689398,200.0,2167.93219366894,Regular,67
Air Astra,RJH,"Shah Makhdum Airport, Rajshahi",SIN,Singapore Changi Airport,2026-02-25 19:07:00,2026-02-25 22:13:04,3.1012862243221195,Direct,Boeing 787,First Class,Travel Agency,253225.08139627776,43983.762209441666,297208.84360571945,Winter Holidays,80
Lufthansa,DAC,"Hazrat Shahjalal International Airport, Dhaka",JFK,"John F. Kennedy International Airport, New York",2025-09-28 12:17:00,2025-09-29 01:09:15,12.871064464885835,1 Stop,Boeing 777,Economy,Travel Agency,33476.23837415177,11021.435756122766,44497.674130274536,Regular,6
Cathay Pacific,SPD,Saidpur Airport,JED,"King Abdulaziz International Airport, Jeddah",2025-03-07 00:55:00,2025-03-07 06:32:56,5.6323632094271385,1 Stop,Airbus A350,Business,Direct Booking,129479.34695859131,23421.902043788697,152901.24900238,Regular,36
FlyDubai,DAC,"Hazrat Shahjalal International Airport, Dhaka",LHR,London Heathrow Airport,2025-03-24 08:39:00,2025-03-24 17:14:03,8.58429048267177,1 Stop,Boeing 777,Economy,Travel Agency,23503.730693696085,9525.559604054413,33029.2902977505,Regular,33
FlyDubai,ZYL,"Osmani International Airport, Sylhet",JSR,Jessore Airport,2025-09-08 19:49:00,2025-09-08 20:57:06,1.1352435341450573,Direct,Airbus A320,Economy,Direct Booking,3113.778772854031,200.0,3313.778772854031,Regular,54
Air India,BZL,Barisal Airport,DEL,"Indira Gandhi International Airport, Delhi",2025-10-15 20:43:00,2025-10-15 23:01:13,2.303655819014577,Direct,Boeing 787,First Class,Direct Booking,189413.91552075886,30412.08732811383,219826.00284887268,Regular,78
AirAsia,JSR,Jessore Airport,CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-05-08 01:21:00,2025-05-08 01:51:00,0.5,Direct,Airbus A320,Economy,Direct Booking,13996.977647985792,4099.546647197869,18096.524295183663,Regular,76
Kuwait Airways,CXB,Cox's Bazar Airport,DEL,"Indira Gandhi International Airport, Delhi",2025-11-02 07:22:00,2025-11-02 10:08:41,2.778325745230681,Direct,Boeing 737,Economy,Online Website,43657.574775668356,8548.636216350253,52206.210992018605,Regular,11
Air India,SPD,Saidpur Airport,DOH,"Hamad International Airport, Doha",2025-06-27 10:55:00,2025-06-27 15:11:25,4.273834368553612,Direct,Boeing 737,First Class,Travel Agency,199352.4367839279,33902.86551758918,233255.30230151708,Regular,20
US-Bangla Airlines,DAC,"Hazrat Shahjalal International Airport, Dhaka",RJH,"Shah Makhdum Airport, Rajshahi",2025-03-16 18:56:00,2025-03-16 19:31:11,0.5865159607423763,Direct,Airbus A320,Economy,Online Website,4459.3739545773,200.0,4659.3739545773,Regular,32
Air Arabia,BZL,Barisal Airport,JED,"King Abdulaziz International Airport, Jeddah",2025-05-09 21:03:00,2025-05-10 02:30:50,5.463964516757094,2 Stops,Airbus A350,Business,Online Website,41672.56383779709,10250.884575669563,51923.448413466656,Regular,43
IndiGo,ZYL,"Osmani International Airport, Sylhet",JSR,Jessore Airport,2025-03-22 14:45:00,2025-03-22 15:50:35,1.0932749609057015,Direct,Airbus A320,Business,Travel Agency,5592.406710419875,200.0,5792.406710419875,Regular,14
Air Arabia,RJH,"Shah Makhdum Airport, Rajshahi",BZL,Barisal Airport,2025-04-20 02:23:00,2025-04-20 03:12:28,0.8246954681748119,Direct,Airbus A320,Economy,Travel Agency,1899.5611872085997,200.0,2099.5611872085997,Regular,84
NovoAir,BZL,Barisal Airport,JSR,Jessore Airport,2025-07-24 00:50:00,2025-07-24 01:20:00,0.5,Direct,Airbus A320,First Class,Travel Agency,9216.08090662187,200.0,9416.08090662187,Regular,33
US-Bangla Airlines,CGP,"Shah Amanat International Airport, Chittagong",JSR,Jessore Airport,2025-08-24 07:18:00,2025-08-24 08:14:26,0.9406481811371612,Direct,Airbus A320,Economy,Travel Agency,3714.589861798568,200.0,3914.589861798568,Regular,43
Cathay Pacific,CGP,"Shah Amanat International Airport, Chittagong",SPD,Saidpur Airport,2025-08-05 11:48:00,2025-08-05 13:35:07,1.7854366861324975,Direct,Airbus A320,Business,Direct Booking,4969.272060303284,200.0,5169.272060303284,Regular,76
NovoAir,RJH,"Shah Makhdum Airport, Rajshahi",DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-04-07 11:43:00,2025-04-07 12:21:10,0.6363348569252854,Direct,Airbus A320,Economy,Online Website,3345.195879467536,200.0,3545.195879467536,Regular,25
Malaysian Airlines,CGP,"Shah Amanat International Airport, Chittagong",LHR,London Heathrow Airport,2025-08-14 07:17:00,2025-08-14 16:00:29,8.724783364399174,1 Stop,Airbus A350,First Class,Direct Booking,150133.2538514776,28519.988077721642,178653.24192919926,Regular,80
Biman Bangladesh Airlines,BZL,Barisal Airport,JSR,Jessore Airport,2025-05-27 18:36:00,2025-05-27 19:06:00,0.5,Direct,Airbus A320,Economy,Online Website,2466.0326736050497,200.0,2666.0326736050497,Regular,14
Air Astra,DAC,"Hazrat Shahjalal International Airport, Dhaka",JSR,Jessore Airport,2025-05-17 16:31:00,2025-05-17 17:03:02,0.5339747754641347,Direct,Airbus A320,First Class,Travel Agency,9569.43427155904,200.0,9769.43427155904,Regular,37
US-Bangla Airlines,RJH,"Shah Makhdum Airport, Rajshahi",CGP,"Shah Amanat International Airport, Chittagong",2025-12-29 16:47:00,2025-12-29 18:07:39,1.3443129700103311,Direct,Airbus A320,Economy,Direct Booking,5222.937017510435,200.0,5422.937017510435,Winter Holidays,13
Biman Bangladesh Airlines,CXB,Cox's Bazar Airport,JED,"King Abdulaziz International Airport, Jeddah",2025-07-25 15:46:00,2025-07-25 21:31:48,5.763345919103541,1 Stop,Boeing 777,Economy,Travel Agency,47559.209561721545,11133.881434258232,58693.09099597978,Regular,51
Vistara,RJH,"Shah Makhdum Airport, Rajshahi",BZL,Barisal Airport,2025-05-12 20:10:00,2025-05-12 21:00:03,0.83426903595389,Direct,Airbus A320,Economy,Online Website,3986.0353775480307,200.0,4186.035377548031,Regular,12
Biman Bangladesh Airlines,CXB,Cox's Bazar Airport,CGP,"Shah Amanat International Airport, Chittagong",2025-12-30 08:22:00,2025-12-30 08:52:00,0.5,Direct,Airbus A320,First Class,Travel Agency,17345.361330198983,200.0,17545.361330198983,Winter Holidays,25
Air Astra,RJH,"Shah Makhdum Airport, Rajshahi",JSR,Jessore Airport,2025-06-05 00:10:00,2025-06-05 00:40:13,0.5036264045587214,Direct,Airbus A320,First Class,Travel Agency,17328.890809558812,200.0,17528.890809558812,Hajj,39
Turkish Airlines,CGP,"Shah Amanat International Airport, Chittagong",JSR,Jessore Airport,2025-12-17 23:59:00,2025-12-18 00:58:10,0.9863403872189667,Direct,Airbus A320,First Class,Online Website,12421.1125531686,200.0,12621.1125531686,Winter Holidays,62
Vistara,RJH,"Shah Makhdum Airport, Rajshahi",DXB,Dubai International Airport,2025-09-05 05:22:00,2025-09-05 08:50:26,3.474033748538456,1 Stop,Boeing 737,Business,Travel Agency,104393.02238276701,19658.953357415052,124051.97574018207,Regular,37
US-Bangla Airlines,JSR,Jessore Airport,SIN,Singapore Changi Airport,2025-05-05 09:00:00,2025-05-05 12:25:32,3.42565163144935,1 Stop,Boeing 787,First Class,Online Website,103479.81336304091,21521.972004456136,125001.78536749705,Regular,20
IndiGo,ZYL,"Osmani International Airport, Sylhet",LHR,London Heathrow Airport,2025-11-23 10:02:00,2025-11-23 19:27:21,9.422632262549458,1 Stop,Boeing 777,Economy,Online Website,10484.726189866473,7572.708928479971,21668.922142015734,Regular,3
Turkish Airlines,BZL,Barisal Airport,ZYL,"Osmani International Airport, Sylhet",2025-04-10 13:46:00,2025-04-10 14:42:55,0.948814806550576,Direct,Airbus A320,Economy,Direct Booking,2284.445845394811,200.0,2484.445845394811,Regular,73
Kuwait Airways,ZYL,"Osmani International Airport, Sylhet",CGP,"Shah Amanat International Airport, Chittagong",2025-03-20 05:47:00,2025-03-20 06:43:36,0.9434349246129582,Direct,Airbus A320,First Class,Travel Agency,9787.821736343407,200.0,9987.821736343407,Regular,44
Saudia,CXB,Cox's Bazar Airport,ZYL,"Osmani International Airport, Sylhet",2025-10-16 05:16:00,2025-10-16 06:26:56,1.1823217762604346,Direct,Airbus A320,Economy,Travel Agency,3175.205092985129,200.0,3375.205092985129,Regular,71
Saudia,SPD,Saidpur Airport,SIN,Singapore Changi Airport,2025-04-11 01:51:00,2025-04-11 05:07:23,3.273308110741101,1 Stop,Boeing 787,Business,Online Website,18317.446958854965,8747.617043828244,27065.06400268321,Regular,24
Etihad Airways,BZL,Barisal Airport,IST,Istanbul Airport,2025-01-29 08:12:00,2025-01-29 15:05:26,6.890606490780386,1 Stop,Boeing 777,Economy,Online Website,7818.6042295524085,5172.790634432861,12991.39486398527,Regular,20
Saudia,CXB,Cox's Bazar Airport,SIN,Singapore Changi Airport,2025-09-19 10:27:00,2025-09-19 13:12:05,2.751395267717988,1 Stop,Boeing 737,Economy,Travel Agency,17128.654868572634,8569.298230285895,25697.95309885853,Regular,40
FlyDubai,SPD,Saidpur Airport,ZYL,"Osmani International Airport, Sylhet",2025-02-15 22:37:00,2025-02-15 23:43:49,1.1138647607178218,Direct,Airbus A320,Business,Travel Agency,7733.343296920759,200.0,7933.343296920759,Regular,45
Emirates,SPD,Saidpur Airport,KUL,Kuala Lumpur International Airport,2025-08-16 09:11:00,2025-08-16 12:20:24,3.1568513013259714,1 Stop,Boeing 787,First Class,Travel Agency,190208.6362754523,34531.295441317845,224739.93171677014,Regular,17
AirAsia,RJH,"Shah Makhdum Airport, Rajshahi",DXB,Dubai International Airport,2026-01-21 17:39:00,2026-01-21 21:41:21,4.0393195308342085,Direct,Boeing 737,First Class,Travel Agency,91237.39625070587,17685.609437605883,108923.00568831176,Winter Holidays,88
Malaysian Airlines,CXB,Cox's Bazar Airport,LHR,London Heathrow Airport,2025-10-12 10:46:00,2025-10-12 19:50:22,9.07278295598806,1 Stop,Airbus A350,Business,Direct Booking,19122.829912906116,8868.424486935917,27991.254399842033,Regular,89
British Airways,JSR,Jessore Airport,BZL,Barisal Airport,2025-12-23 08:02:00,2025-12-23 08:32:00,0.5,Direct,Airbus A320,Business,Direct Booking,5679.521491110134,200.0,5879.521491110134,Winter Holidays,53
British Airways,JSR,Jessore Airport,BZL,Barisal Airport,2025-06-16 07:37:00,2025-06-16 08:07:00,0.5,Direct,Airbus A320,First Class,Direct Booking,9612.22462523189,200.0,9812.22462523189,Regular,43
US-Bangla Airlines,DAC,"Hazrat Shahjalal International Airport, Dhaka",BZL,Barisal Airport,2025-10-18 03:12:00,2025-10-18 03:42:00,0.5,Direct,Airbus A320,Business,Online Website,6714.381064153891,200.0,6914.381064153891,Regular,90
Kuwait Airways,RJH,"Shah Makhdum Airport, Rajshahi",YYZ,Toronto Pearson International Airport,2025-11-30 21:06:00,2025-12-01 11:38:13,14.537206328520284,1 Stop,Boeing 777,Business,Travel Agency,26759.11096357646,10013.866644536469,44127.57312973551,Regular,3
Emirates,CGP,"Shah Amanat International Airport, Chittagong",KUL,Kuala Lumpur International Airport,2025-05-08 04:06:00,2025-05-08 06:36:30,2.50846800967012,Direct,Boeing 787,Economy,Direct Booking,35116.061351600445,11267.409202740066,46383.470554340514,Regular,88
Air India,JSR,Jessore Airport,CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-02-20 15:49:00,2025-02-20 16:19:00,0.5,Direct,Airbus A320,Economy,Direct Booking,59120.01630423326,10868.002445634987,83985.62249984189,Regular,2
SriLankan Airlines,JSR,Jessore Airport,JFK,"John F. Kennedy International Airport, New York",2026-01-29 08:47:00,2026-01-29 22:44:35,13.959966612562718,1 Stop,Airbus A350,Economy,Direct Booking,13656.441090673243,8048.466163600986,21704.90725427423,Winter Holidays,39
Kuwait Airways,JSR,Jessore Airport,BZL,Barisal Airport,2025-12-04 14:07:00,2025-12-04 14:37:00,0.5,Direct,Airbus A320,Business,Travel Agency,6625.092287159978,200.0,6825.092287159978,Winter Holidays,47
SriLankan Airlines,DAC,"Hazrat Shahjalal International Airport, Dhaka",RJH,"Shah Makhdum Airport, Rajshahi",2025-05-20 19:43:00,2025-05-20 20:21:39,0.6443715152951691,Direct,Airbus A320,Economy,Travel Agency,2629.3870451407975,200.0,3395.264454168957,Regular,4
Air Arabia,BZL,Barisal Airport,JFK,"John F. Kennedy International Airport, New York",2025-04-05 02:53:00,2025-04-05 18:11:35,15.309731745357704,1 Stop,Boeing 777,First Class,Online Website,86407.79912455636,18961.169868683453,105368.96899323982,Regular,83
Air Astra,JSR,Jessore Airport,IST,Istanbul Airport,2026-02-17 02:41:00,2026-02-17 09:43:58,7.049595194777987,1 Stop,Airbus A350,First Class,Online Website,108999.32623165252,20349.89893474788,129349.2251664004,Winter Holidays,55
Turkish Airlines,SPD,Saidpur Airport,CGP,"Shah Amanat International Airport, Chittagong",2025-12-14 04:50:00,2025-12-14 06:32:34,1.7095281430281049,Direct,Airbus A320,Economy,Travel Agency,3565.7746335544985,200.0,3765.7746335544985,Winter Holidays,14
Emirates,CGP,"Shah Amanat International Airport, Chittagong",BKK,"Suvarnabhumi Airport, Bangkok",2025-10-04 02:52:00,2025-10-04 05:16:40,2.4112937179617497,Direct,Boeing 787,Business,Travel Agency,99886.0202791866,20982.903041877988,120868.92332106459,Regular,47
FlyDubai,CGP,"Shah Amanat International Airport, Chittagong",RJH,"Shah Makhdum Airport, Rajshahi",2025-02-25 10:59:00,2025-02-25 12:24:21,1.4227486638395463,Direct,Airbus A320,Economy,Direct Booking,2627.093183792946,200.0,2827.093183792946,Regular,5
Turkish Airlines,BZL,Barisal Airport,JFK,"John F. Kennedy International Airport, New York",2025-06-19 08:09:00,2025-06-19 23:17:16,15.137990478452759,2 Stops,Boeing 777,First Class,Direct Booking,59280.436775911985,14892.065516386798,74172.50229229878,Regular,50
SriLankan Airlines,BZL,Barisal Airport,ZYL,"Osmani International Airport, Sylhet",2025-03-13 04:13:00,2025-03-13 05:07:49,0.9138056675076937,Direct,Airbus A320,First Class,Online Website,12741.341453204623,200.0,12941.341453204623,Regular,20
Lufthansa,DAC,"Hazrat Shahjalal International Airport, Dhaka",JED,"King Abdulaziz International Airport, Jeddah",2025-07-26 02:03:00,2025-07-26 07:56:16,5.887858046142091,1 Stop,Boeing 777,Business,Travel Agency,49121.722492802306,11368.258373920346,60489.98086672265,Regular,74
Saudia,CXB,Cox's Bazar Airport,IST,Istanbul Airport,2025-04-23 18:59:00,2025-04-24 01:46:40,6.794494025568563,1 Stop,Boeing 777,First Class,Direct Booking,210821.86438205332,35623.279657308,246445.14403936133,Regular,44
US-Bangla Airlines,DAC,"Hazrat Shahjalal International Airport, Dhaka",SPD,Saidpur Airport,2025-04-06 08:05:00,2025-04-06 09:00:14,0.9206052587956134,Direct,Airbus A320,Economy,Online Website,3630.2316842258197,200.0,3830.2316842258197,Regular,15
Air Astra,CXB,Cox's Bazar Airport,DEL,"Indira Gandhi International Airport, Delhi",2026-01-14 08:18:00,2026-01-14 11:14:15,2.9376376118277516,Direct,Boeing 787,Economy,Online Website,41923.658039481874,8288.54870592228,50212.20674540415,Winter Holidays,15
Turkish Airlines,RJH,"Shah Makhdum Airport, Rajshahi",YYZ,Toronto Pearson International Airport,2026-01-11 01:59:00,2026-01-11 15:35:07,13.602080745366019,1 Stop,Airbus A350,Business,Direct Booking,139945.0508657377,26991.757629860655,166936.80849559835,Winter Holidays,51
FlyDubai,ZYL,"Osmani International Airport, Sylhet",RJH,"Shah Makhdum Airport, Rajshahi",2026-03-06 11:39:00,2026-03-06 12:48:27,1.157579041850004,Direct,Airbus A320,First Class,Direct Booking,10294.635479472294,200.0,10494.635479472294,Regular,81
Kuwait Airways,CGP,"Shah Amanat International Airport, Chittagong",SIN,Singapore Changi Airport,2025-07-26 04:05:00,2025-07-26 06:59:33,2.909397456237261,Direct,Boeing 787,Economy,Travel Agency,42718.85896889309,12407.828845333963,55126.68781422705,Regular,16
US-Bangla Airlines,ZYL,"Osmani International Airport, Sylhet",SPD,Saidpur Airport,2025-04-04 09:30:00,2025-04-04 10:36:12,1.1034175401607733,Direct,Airbus A320,Economy,Direct Booking,2064.105086588291,200.0,2264.105086588291,Regular,83
Air India,ZYL,"Osmani International Airport, Sylhet",CXB,Cox's Bazar Airport,2025-06-15 12:48:00,2025-06-15 14:01:26,1.2241636540522056,Direct,Airbus A320,Business,Travel Agency,9650.11492973944,200.0,11820.137915687328,Regular,1
Malaysian Airlines,CXB,Cox's Bazar Airport,JED,"King Abdulaziz International Airport, Jeddah",2025-10-04 02:38:00,2025-10-04 08:23:29,5.758257608083287,2 Stops,Boeing 777,Economy,Direct Booking,36366.587602351436,9454.988140352714,45821.57574270415,Regular,79
Singapore Airlines,CGP,"Shah Amanat International Airport, Chittagong",JFK,"John F. Kennedy International Airport, New York",2026-02-03 22:45:00,2026-02-04 14:05:44,15.345636203199398,1 Stop,Boeing 777,Business,Online Website,88004.99412423832,19200.749118635747,107205.74324287407,Winter Holidays,88
Biman Bangladesh Airlines,SPD,Saidpur Airport,SIN,Singapore Changi Airport,2025-07-12 09:59:00,2025-07-12 13:22:10,3.3862323703633663,1 Stop,Boeing 737,First Class,Online Website,59101.09105392574,14865.16365808886,73966.2547120146,Regular,63
FlyDubai,ZYL,"Osmani International Airport, Sylhet",JED,"King Abdulaziz International Airport, Jeddah",2026-01-13 22:49:00,2026-01-14 04:18:37,5.493774640168305,1 Stop,Airbus A350,Business,Online Website,86978.58682731408,17046.788024097114,104025.3748514112,Winter Holidays,66
IndiGo,SPD,Saidpur Airport,BKK,"Suvarnabhumi Airport, Bangkok",2025-09-27 20:44:00,2025-09-27 23:29:44,2.762249272510238,Direct,Boeing 787,First Class,Online Website,177030.8254266706,32554.62381400059,209585.4492406712,Regular,47
Saudia,BZL,Barisal Airport,SIN,Singapore Changi Airport,2026-03-01 08:27:00,2026-03-01 11:19:30,2.8751969908431736,Direct,Boeing 737,Business,Direct Booking,50422.916768759635,13563.437515313944,63986.354284073575,Regular,86
AirAsia,CGP,"Shah Amanat International Airport, Chittagong",ZYL,"Osmani International Airport, Sylhet",2025-12-16 10:19:00,2025-12-16 11:20:00,1.0167981413467573,Direct,Airbus A320,First Class,Travel Agency,12644.461797394364,200.0,12844.461797394364,Winter Holidays,49
Thai Airways,CGP,"Shah Amanat International Airport, Chittagong",BKK,"Suvarnabhumi Airport, Bangkok",2025-12-29 05:17:00,2025-12-29 07:43:26,2.4406791516223003,1 Stop,Boeing 737,Business,Direct Booking,170177.41377910526,31526.61206686579,201704.02584597105,Winter Holidays,14
Vistara,CGP,"Shah Amanat International Airport, Chittagong",LHR,London Heathrow Airport,2025-07-13 17:56:00,2025-07-14 03:28:04,9.534578487680706,1 Stop,Boeing 777,First Class,Travel Agency,289287.2199041402,49393.08298562103,338680.3028897613,Regular,12
British Airways,SPD,Saidpur Airport,DXB,Dubai International Airport,2025-05-22 15:19:00,2025-05-22 19:17:23,3.9733228503813884,1 Stop,Boeing 737,Economy,Online Website,9853.199205828636,5477.979880874295,15331.17908670293,Regular,9
Emirates,RJH,"Shah Makhdum Airport, Rajshahi",YYZ,Toronto Pearson International Airport,2025-10-17 14:40:00,2025-10-18 05:32:34,14.876174728582534,2 Stops,Airbus A350,Business,Travel Agency,34414.6095908237,11162.191438623555,45576.80102944725,Regular,39
Thai Airways,RJH,"Shah Makhdum Airport, Rajshahi",ZYL,"Osmani International Airport, Sylhet",2025-09-25 18:49:00,2025-09-25 19:53:42,1.0785711927706907,Direct,Airbus A320,Economy,Online Website,3760.3498039597125,200.0,3960.3498039597125,Regular,74
Kuwait Airways,SPD,Saidpur Airport,IST,Istanbul Airport,2025-06-01 13:04:00,2025-06-01 19:07:35,6.059866653603047,1 Stop,Airbus A350,Economy,Travel Agency,59702.8562999151,12955.428444987265,72658.28474490237,Regular,32
Singapore Airlines,CGP,"Shah Amanat International Airport, Chittagong",DXB,Dubai International Airport,2025-05-17 06:09:00,2025-05-17 10:26:10,4.286142065227909,Direct,Boeing 737,Economy,Online Website,35012.757865042746,9251.913679756412,44264.67154479916,Regular,74
NovoAir,RJH,"Shah Makhdum Airport, Rajshahi",DEL,"Indira Gandhi International Airport, Delhi",2026-03-02 12:37:00,2026-03-02 14:28:51,1.864252065739725,1 Stop,Boeing 737,Business,Travel Agency,25253.59793135198,5788.039689702797,31041.637621054775,Regular,74
US-Bangla Airlines,CGP,"Shah Amanat International Airport, Chittagong",CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-08-18 09:02:00,2025-08-18 10:12:02,1.1674702051525483,Direct,Airbus A320,Economy,Direct Booking,35457.17697232134,7318.5765458482,42775.753518169535,Regular,18
Qatar Airways,SPD,Saidpur Airport,CXB,Cox's Bazar Airport,2025-09-28 10:11:00,2025-09-28 11:06:34,0.9261780298997182,Direct,Airbus A320,Economy,Travel Agency,3193.779699008237,200.0,4072.5356388098844,Regular,1
Kuwait Airways,SPD,Saidpur Airport,BKK,"Suvarnabhumi Airport, Bangkok",2025-07-07 08:38:00,2025-07-07 11:28:42,2.8452048555791665,Direct,Boeing 737,First Class,Online Website,194238.42274829527,35135.76341224429,229374.18616053957,Regular,68
Saudia,ZYL,"Osmani International Airport, Sylhet",SIN,Singapore Changi Airport,2025-03-12 12:46:00,2025-03-12 16:00:43,3.245290313351443,1 Stop,Boeing 737,Business,Travel Agency,103787.3943751148,21568.10915626722,125355.50353138203,Regular,69
Emirates,JSR,Jessore Airport,CXB,Cox's Bazar Airport,2025-06-14 06:57:00,2025-06-14 08:04:11,1.1197823853008484,Direct,Airbus A320,Economy,Direct Booking,3721.833732938705,200.0,3921.833732938705,Regular,80
AirAsia,CXB,Cox's Bazar Airport,JSR,Jessore Airport,2025-02-23 04:09:00,2025-02-23 05:22:51,1.2308765407908044,Direct,Airbus A320,Business,Travel Agency,5486.446806455753,200.0,5686.446806455753,Regular,42
AirAsia,JSR,Jessore Airport,CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-10-26 12:04:00,2025-10-26 12:34:00,0.5,Direct,Airbus A320,Economy,Direct Booking,12638.217929551147,3895.732689432672,19840.74074278058,Regular,4
Malaysian Airlines,RJH,"Shah Makhdum Airport, Rajshahi",JFK,"John F. Kennedy International Airport, New York",2025-10-04 15:18:00,2025-10-05 06:22:09,15.069202416137392,1 Stop,Airbus A350,Economy,Direct Booking,19414.040787634753,8912.106118145213,28326.146905779966,Regular,5
Turkish Airlines,RJH,"Shah Makhdum Airport, Rajshahi",IST,Istanbul Airport,2025-06-19 07:12:00,2025-06-19 13:38:45,6.44594251213433,1 Stop,Boeing 777,Business,Direct Booking,100299.47441023856,19044.921161535785,119344.39557177434,Regular,39
